INFO : 2021-08-26 20:51:38,146 : Dir raw_data/2017-18 already exists
DEBUG : 2021-08-26 20:52:03,793 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/5ec3b39d-d384-4abc-95c1-0dec24b0eaf0/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:03,794 : Finished Request
DEBUG : 2021-08-26 20:52:03,794 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/0d3a2515-127e-47e2-a219-09f87f20b6ba/text {"id": "0d3a2515-127e-47e2-a219-09f87f20b6ba"}
DEBUG : 2021-08-26 20:52:03,834 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/0d3a2515-127e-47e2-a219-09f87f20b6ba/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:03,835 : Finished Request
DEBUG : 2021-08-26 20:52:03,835 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/accc2535-11e1-41df-8131-5cb6494dcf26/text {"id": "accc2535-11e1-41df-8131-5cb6494dcf26"}
DEBUG : 2021-08-26 20:52:03,853 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/accc2535-11e1-41df-8131-5cb6494dcf26/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:03,854 : Finished Request
DEBUG : 2021-08-26 20:52:03,854 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/dfb7c258-a1c4-48d1-92cd-68e9a3389a15/text {"id": "dfb7c258-a1c4-48d1-92cd-68e9a3389a15"}
DEBUG : 2021-08-26 20:52:03,876 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/dfb7c258-a1c4-48d1-92cd-68e9a3389a15/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:03,877 : Finished Request
DEBUG : 2021-08-26 20:52:03,877 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/60b307a7-81b9-43d3-a4ba-c48fd011563a/name {"id": "60b307a7-81b9-43d3-a4ba-c48fd011563a"}
DEBUG : 2021-08-26 20:52:03,884 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/60b307a7-81b9-43d3-a4ba-c48fd011563a/name HTTP/1.1" 200 18
DEBUG : 2021-08-26 20:52:03,884 : Finished Request
DEBUG : 2021-08-26 20:52:03,884 : POST http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/execute/sync {"script": "return (function(){return function(){var d=this;function f(a){return\"string\"==typeof a};function h(a,b){this.code=a;this.a=l[a]||m;this.message=b||\"\";a=this.a.replace(/((?:^|\\s+)[a-z])/g,function(a){return a.toUpperCase().replace(/^[\\s\\xa0]+/g,\"\")});b=a.length-5;if(0>b||a.indexOf(\"Error\",b)!=b)a+=\"Error\";this.name=a;a=Error(this.message);a.name=this.name;this.stack=a.stack||\"\"}\n(function(){var a=Error;function b(){}b.prototype=a.prototype;h.b=a.prototype;h.prototype=new b;h.prototype.constructor=h;h.a=function(b,c,g){for(var e=Array(arguments.length-2),k=2;k<arguments.length;k++)e[k-2]=arguments[k];return a.prototype[c].apply(b,e)}})();var m=\"unknown error\",l={15:\"element not selectable\",11:\"element not visible\"};l[31]=m;l[30]=m;l[24]=\"invalid cookie domain\";l[29]=\"invalid element coordinates\";l[12]=\"invalid element state\";l[32]=\"invalid selector\";l[51]=\"invalid selector\";\nl[52]=\"invalid selector\";l[17]=\"javascript error\";l[405]=\"unsupported operation\";l[34]=\"move target out of bounds\";l[27]=\"no such alert\";l[7]=\"no such element\";l[8]=\"no such frame\";l[23]=\"no such window\";l[28]=\"script timeout\";l[33]=\"session not created\";l[10]=\"stale element reference\";l[21]=\"timeout\";l[25]=\"unable to set cookie\";l[26]=\"unexpected alert open\";l[13]=m;l[9]=\"unknown command\";h.prototype.toString=function(){return this.name+\": \"+this.message};var n;a:{var p=d.navigator;if(p){var q=p.userAgent;if(q){n=q;break a}}n=\"\"}function r(a){return-1!=n.indexOf(a)};function t(a,b){for(var e=a.length,c=f(a)?a.split(\"\"):a,g=0;g<e;g++)g in c&&b.call(void 0,c[g],g,a)};function v(){return r(\"iPhone\")&&!r(\"iPod\")&&!r(\"iPad\")};function w(){return(r(\"Chrome\")||r(\"CriOS\"))&&!r(\"Edge\")};var x=r(\"Opera\"),y=r(\"Trident\")||r(\"MSIE\"),z=r(\"Edge\"),A=r(\"Gecko\")&&!(-1!=n.toLowerCase().indexOf(\"webkit\")&&!r(\"Edge\"))&&!(r(\"Trident\")||r(\"MSIE\"))&&!r(\"Edge\"),aa=-1!=n.toLowerCase().indexOf(\"webkit\")&&!r(\"Edge\");function B(){var a=d.document;return a?a.documentMode:void 0}var C;\na:{var D=\"\",E=function(){var a=n;if(A)return/rv\\:([^\\);]+)(\\)|;)/.exec(a);if(z)return/Edge\\/([\\d\\.]+)/.exec(a);if(y)return/\\b(?:MSIE|rv)[: ]([^\\);]+)(\\)|;)/.exec(a);if(aa)return/WebKit\\/(\\S+)/.exec(a);if(x)return/(?:Version)[ \\/]?(\\S+)/.exec(a)}();E&&(D=E?E[1]:\"\");if(y){var F=B();if(null!=F&&F>parseFloat(D)){C=String(F);break a}}C=D}var G;var H=d.document;G=H&&y?B()||(\"CSS1Compat\"==H.compatMode?parseInt(C,10):5):void 0;var ba=r(\"Firefox\"),ca=v()||r(\"iPod\"),da=r(\"iPad\"),I=r(\"Android\")&&!(w()||r(\"Firefox\")||r(\"Opera\")||r(\"Silk\")),ea=w(),J=r(\"Safari\")&&!(w()||r(\"Coast\")||r(\"Opera\")||r(\"Edge\")||r(\"Silk\")||r(\"Android\"))&&!(v()||r(\"iPad\")||r(\"iPod\"));function K(a){return(a=a.exec(n))?a[1]:\"\"}(function(){if(ba)return K(/Firefox\\/([0-9.]+)/);if(y||z||x)return C;if(ea)return v()||r(\"iPad\")||r(\"iPod\")?K(/CriOS\\/([0-9.]+)/):K(/Chrome\\/([0-9.]+)/);if(J&&!(v()||r(\"iPad\")||r(\"iPod\")))return K(/Version\\/([0-9.]+)/);if(ca||da){var a=/Version\\/(\\S+).*Mobile\\/(\\S+)/.exec(n);if(a)return a[1]+\".\"+a[2]}else if(I)return(a=K(/Android\\s+([0-9.]+)/))?a:K(/Version\\/([0-9.]+)/);return\"\"})();var L,M=function(){if(!A)return!1;var a=d.Components;if(!a)return!1;try{if(!a.classes)return!1}catch(g){return!1}var b=a.classes,a=a.interfaces,e=b[\"@mozilla.org/xpcom/version-comparator;1\"].getService(a.nsIVersionComparator),c=b[\"@mozilla.org/xre/app-info;1\"].getService(a.nsIXULAppInfo).version;L=function(a){e.compare(c,\"\"+a)};return!0}(),N=y&&!(8<=Number(G)),fa=y&&!(9<=Number(G));I&&M&&L(2.3);I&&M&&L(4);J&&M&&L(6);var ga={SCRIPT:1,STYLE:1,HEAD:1,IFRAME:1,OBJECT:1},O={IMG:\" \",BR:\"\\n\"};function P(a,b,e){if(!(a.nodeName in ga))if(3==a.nodeType)e?b.push(String(a.nodeValue).replace(/(\\r\\n|\\r|\\n)/g,\"\")):b.push(a.nodeValue);else if(a.nodeName in O)b.push(O[a.nodeName]);else for(a=a.firstChild;a;)P(a,b,e),a=a.nextSibling};function Q(a,b){b=b.toLowerCase();return\"style\"==b?ha(a.style.cssText):N&&\"value\"==b&&R(a,\"INPUT\")?a.value:fa&&!0===a[b]?String(a.getAttribute(b)):(a=a.getAttributeNode(b))&&a.specified?a.value:null}var ia=/[;]+(?=(?:(?:[^\"]*\"){2})*[^\"]*$)(?=(?:(?:[^']*'){2})*[^']*$)(?=(?:[^()]*\\([^()]*\\))*[^()]*$)/;\nfunction ha(a){var b=[];t(a.split(ia),function(a){var c=a.indexOf(\":\");0<c&&(a=[a.slice(0,c),a.slice(c+1)],2==a.length&&b.push(a[0].toLowerCase(),\":\",a[1],\";\"))});b=b.join(\"\");return b=\";\"==b.charAt(b.length-1)?b:b+\";\"}function S(a,b){N&&\"value\"==b&&R(a,\"OPTION\")&&null===Q(a,\"value\")?(b=[],P(a,b,!1),a=b.join(\"\")):a=a[b];return a}function R(a,b){b&&\"string\"!==typeof b&&(b=b.toString());return!!a&&1==a.nodeType&&(!b||a.tagName.toUpperCase()==b)}\nfunction T(a){return R(a,\"OPTION\")?!0:R(a,\"INPUT\")?(a=a.type.toLowerCase(),\"checkbox\"==a||\"radio\"==a):!1};var ja={\"class\":\"className\",readonly:\"readOnly\"},U=\"allowfullscreen allowpaymentrequest allowusermedia async autofocus autoplay checked compact complete controls declare default defaultchecked defaultselected defer disabled ended formnovalidate hidden indeterminate iscontenteditable ismap itemscope loop multiple muted nohref nomodule noresize noshade novalidate nowrap open paused playsinline pubdate readonly required reversed scoped seamless seeking selected truespeed typemustmatch willvalidate\".split(\" \");function V(a,b){var e=null,c=b.toLowerCase();if(\"style\"==c)return(e=a.style)&&!f(e)&&(e=e.cssText),e;if((\"selected\"==c||\"checked\"==c)&&T(a)){if(!T(a))throw new h(15,\"Element is not selectable\");b=\"selected\";e=a.type&&a.type.toLowerCase();if(\"checkbox\"==e||\"radio\"==e)b=\"checked\";return S(a,b)?\"true\":null}var g=R(a,\"A\");if(R(a,\"IMG\")&&\"src\"==c||g&&\"href\"==c)return(e=Q(a,c))&&(e=S(a,c)),e;if(\"spellcheck\"==c){e=Q(a,c);if(null!==e){if(\"false\"==e.toLowerCase())return\"false\";if(\"true\"==e.toLowerCase())return\"true\"}return S(a,\nc)+\"\"}g=ja[b]||b;a:if(f(U))c=f(c)&&1==c.length?U.indexOf(c,0):-1;else{for(var u=0;u<U.length;u++)if(u in U&&U[u]===c){c=u;break a}c=-1}if(0<=c)return(e=null!==Q(a,b)||S(a,g))?\"true\":null;try{var k=S(a,g)}catch(ka){}(c=null==k)||(c=typeof k,c=\"object\"==c&&null!=k||\"function\"==c);c?e=Q(a,b):e=k;return null!=e?e.toString():null}var W=[\"_\"],X=d;W[0]in X||!X.execScript||X.execScript(\"var \"+W[0]);\nfor(var Y;W.length&&(Y=W.shift());){var Z;if(Z=!W.length)Z=void 0!==V;Z?X[Y]=V:X[Y]&&X[Y]!==Object.prototype[Y]?X=X[Y]:X=X[Y]={}};; return this._.apply(null,arguments);}.apply({navigator:typeof window!='undefined'?window.navigator:null,document:typeof window!='undefined'?window.document:null}, arguments);}\n).apply(null, arguments);", "args": [{"ELEMENT": "60b307a7-81b9-43d3-a4ba-c48fd011563a", "element-6066-11e4-a52e-4f735466cecf": "60b307a7-81b9-43d3-a4ba-c48fd011563a"}, "multiple"]}
DEBUG : 2021-08-26 20:52:03,892 : http://127.0.0.1:58283 "POST /session/fff98da934d9313a3667a68e88476c48/execute/sync HTTP/1.1" 200 14
DEBUG : 2021-08-26 20:52:03,892 : Finished Request
DEBUG : 2021-08-26 20:52:03,892 : POST http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/60b307a7-81b9-43d3-a4ba-c48fd011563a/elements {"using": "css selector", "value": "option", "id": "60b307a7-81b9-43d3-a4ba-c48fd011563a"}
DEBUG : 2021-08-26 20:52:03,906 : http://127.0.0.1:58283 "POST /session/fff98da934d9313a3667a68e88476c48/element/60b307a7-81b9-43d3-a4ba-c48fd011563a/elements HTTP/1.1" 200 564
DEBUG : 2021-08-26 20:52:03,906 : Finished Request
DEBUG : 2021-08-26 20:52:03,907 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/884eef7f-0469-4ae1-a23e-b183261e1514/text {"id": "884eef7f-0469-4ae1-a23e-b183261e1514"}
DEBUG : 2021-08-26 20:52:03,924 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/884eef7f-0469-4ae1-a23e-b183261e1514/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:03,924 : Finished Request
DEBUG : 2021-08-26 20:52:03,925 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/f0784aed-81bb-4fd3-b356-0319874f8528/text {"id": "f0784aed-81bb-4fd3-b356-0319874f8528"}
DEBUG : 2021-08-26 20:52:03,941 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/f0784aed-81bb-4fd3-b356-0319874f8528/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:03,942 : Finished Request
DEBUG : 2021-08-26 20:52:03,942 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/ef5beba0-17b6-4ed5-8eeb-70b8f9e7c1b4/text {"id": "ef5beba0-17b6-4ed5-8eeb-70b8f9e7c1b4"}
DEBUG : 2021-08-26 20:52:03,958 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/ef5beba0-17b6-4ed5-8eeb-70b8f9e7c1b4/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:03,959 : Finished Request
DEBUG : 2021-08-26 20:52:03,959 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/be95a59f-3df6-4204-b722-0642bfdb227d/text {"id": "be95a59f-3df6-4204-b722-0642bfdb227d"}
DEBUG : 2021-08-26 20:52:03,975 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/be95a59f-3df6-4204-b722-0642bfdb227d/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:03,975 : Finished Request
DEBUG : 2021-08-26 20:52:03,976 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/b75281f9-e0fc-42d0-b697-967bcf4d7442/text {"id": "b75281f9-e0fc-42d0-b697-967bcf4d7442"}
DEBUG : 2021-08-26 20:52:03,993 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/b75281f9-e0fc-42d0-b697-967bcf4d7442/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:03,994 : Finished Request
DEBUG : 2021-08-26 20:52:03,994 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/68e929c9-ff30-4997-ab4c-3a9898b72fe1/text {"id": "68e929c9-ff30-4997-ab4c-3a9898b72fe1"}
DEBUG : 2021-08-26 20:52:04,011 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/68e929c9-ff30-4997-ab4c-3a9898b72fe1/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:04,011 : Finished Request
DEBUG : 2021-08-26 20:52:04,011 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/b396da9b-a3ba-4518-bac7-046eee2de7e9/text {"id": "b396da9b-a3ba-4518-bac7-046eee2de7e9"}
DEBUG : 2021-08-26 20:52:04,027 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/b396da9b-a3ba-4518-bac7-046eee2de7e9/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:04,028 : Finished Request
DEBUG : 2021-08-26 20:52:04,028 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/0af41fc8-e465-4e5a-a5ba-8481ca71336e/name {"id": "0af41fc8-e465-4e5a-a5ba-8481ca71336e"}
DEBUG : 2021-08-26 20:52:04,033 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/0af41fc8-e465-4e5a-a5ba-8481ca71336e/name HTTP/1.1" 200 18
DEBUG : 2021-08-26 20:52:04,033 : Finished Request
DEBUG : 2021-08-26 20:52:04,033 : POST http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/execute/sync {"script": "return (function(){return function(){var d=this;function f(a){return\"string\"==typeof a};function h(a,b){this.code=a;this.a=l[a]||m;this.message=b||\"\";a=this.a.replace(/((?:^|\\s+)[a-z])/g,function(a){return a.toUpperCase().replace(/^[\\s\\xa0]+/g,\"\")});b=a.length-5;if(0>b||a.indexOf(\"Error\",b)!=b)a+=\"Error\";this.name=a;a=Error(this.message);a.name=this.name;this.stack=a.stack||\"\"}\n(function(){var a=Error;function b(){}b.prototype=a.prototype;h.b=a.prototype;h.prototype=new b;h.prototype.constructor=h;h.a=function(b,c,g){for(var e=Array(arguments.length-2),k=2;k<arguments.length;k++)e[k-2]=arguments[k];return a.prototype[c].apply(b,e)}})();var m=\"unknown error\",l={15:\"element not selectable\",11:\"element not visible\"};l[31]=m;l[30]=m;l[24]=\"invalid cookie domain\";l[29]=\"invalid element coordinates\";l[12]=\"invalid element state\";l[32]=\"invalid selector\";l[51]=\"invalid selector\";\nl[52]=\"invalid selector\";l[17]=\"javascript error\";l[405]=\"unsupported operation\";l[34]=\"move target out of bounds\";l[27]=\"no such alert\";l[7]=\"no such element\";l[8]=\"no such frame\";l[23]=\"no such window\";l[28]=\"script timeout\";l[33]=\"session not created\";l[10]=\"stale element reference\";l[21]=\"timeout\";l[25]=\"unable to set cookie\";l[26]=\"unexpected alert open\";l[13]=m;l[9]=\"unknown command\";h.prototype.toString=function(){return this.name+\": \"+this.message};var n;a:{var p=d.navigator;if(p){var q=p.userAgent;if(q){n=q;break a}}n=\"\"}function r(a){return-1!=n.indexOf(a)};function t(a,b){for(var e=a.length,c=f(a)?a.split(\"\"):a,g=0;g<e;g++)g in c&&b.call(void 0,c[g],g,a)};function v(){return r(\"iPhone\")&&!r(\"iPod\")&&!r(\"iPad\")};function w(){return(r(\"Chrome\")||r(\"CriOS\"))&&!r(\"Edge\")};var x=r(\"Opera\"),y=r(\"Trident\")||r(\"MSIE\"),z=r(\"Edge\"),A=r(\"Gecko\")&&!(-1!=n.toLowerCase().indexOf(\"webkit\")&&!r(\"Edge\"))&&!(r(\"Trident\")||r(\"MSIE\"))&&!r(\"Edge\"),aa=-1!=n.toLowerCase().indexOf(\"webkit\")&&!r(\"Edge\");function B(){var a=d.document;return a?a.documentMode:void 0}var C;\na:{var D=\"\",E=function(){var a=n;if(A)return/rv\\:([^\\);]+)(\\)|;)/.exec(a);if(z)return/Edge\\/([\\d\\.]+)/.exec(a);if(y)return/\\b(?:MSIE|rv)[: ]([^\\);]+)(\\)|;)/.exec(a);if(aa)return/WebKit\\/(\\S+)/.exec(a);if(x)return/(?:Version)[ \\/]?(\\S+)/.exec(a)}();E&&(D=E?E[1]:\"\");if(y){var F=B();if(null!=F&&F>parseFloat(D)){C=String(F);break a}}C=D}var G;var H=d.document;G=H&&y?B()||(\"CSS1Compat\"==H.compatMode?parseInt(C,10):5):void 0;var ba=r(\"Firefox\"),ca=v()||r(\"iPod\"),da=r(\"iPad\"),I=r(\"Android\")&&!(w()||r(\"Firefox\")||r(\"Opera\")||r(\"Silk\")),ea=w(),J=r(\"Safari\")&&!(w()||r(\"Coast\")||r(\"Opera\")||r(\"Edge\")||r(\"Silk\")||r(\"Android\"))&&!(v()||r(\"iPad\")||r(\"iPod\"));function K(a){return(a=a.exec(n))?a[1]:\"\"}(function(){if(ba)return K(/Firefox\\/([0-9.]+)/);if(y||z||x)return C;if(ea)return v()||r(\"iPad\")||r(\"iPod\")?K(/CriOS\\/([0-9.]+)/):K(/Chrome\\/([0-9.]+)/);if(J&&!(v()||r(\"iPad\")||r(\"iPod\")))return K(/Version\\/([0-9.]+)/);if(ca||da){var a=/Version\\/(\\S+).*Mobile\\/(\\S+)/.exec(n);if(a)return a[1]+\".\"+a[2]}else if(I)return(a=K(/Android\\s+([0-9.]+)/))?a:K(/Version\\/([0-9.]+)/);return\"\"})();var L,M=function(){if(!A)return!1;var a=d.Components;if(!a)return!1;try{if(!a.classes)return!1}catch(g){return!1}var b=a.classes,a=a.interfaces,e=b[\"@mozilla.org/xpcom/version-comparator;1\"].getService(a.nsIVersionComparator),c=b[\"@mozilla.org/xre/app-info;1\"].getService(a.nsIXULAppInfo).version;L=function(a){e.compare(c,\"\"+a)};return!0}(),N=y&&!(8<=Number(G)),fa=y&&!(9<=Number(G));I&&M&&L(2.3);I&&M&&L(4);J&&M&&L(6);var ga={SCRIPT:1,STYLE:1,HEAD:1,IFRAME:1,OBJECT:1},O={IMG:\" \",BR:\"\\n\"};function P(a,b,e){if(!(a.nodeName in ga))if(3==a.nodeType)e?b.push(String(a.nodeValue).replace(/(\\r\\n|\\r|\\n)/g,\"\")):b.push(a.nodeValue);else if(a.nodeName in O)b.push(O[a.nodeName]);else for(a=a.firstChild;a;)P(a,b,e),a=a.nextSibling};function Q(a,b){b=b.toLowerCase();return\"style\"==b?ha(a.style.cssText):N&&\"value\"==b&&R(a,\"INPUT\")?a.value:fa&&!0===a[b]?String(a.getAttribute(b)):(a=a.getAttributeNode(b))&&a.specified?a.value:null}var ia=/[;]+(?=(?:(?:[^\"]*\"){2})*[^\"]*$)(?=(?:(?:[^']*'){2})*[^']*$)(?=(?:[^()]*\\([^()]*\\))*[^()]*$)/;\nfunction ha(a){var b=[];t(a.split(ia),function(a){var c=a.indexOf(\":\");0<c&&(a=[a.slice(0,c),a.slice(c+1)],2==a.length&&b.push(a[0].toLowerCase(),\":\",a[1],\";\"))});b=b.join(\"\");return b=\";\"==b.charAt(b.length-1)?b:b+\";\"}function S(a,b){N&&\"value\"==b&&R(a,\"OPTION\")&&null===Q(a,\"value\")?(b=[],P(a,b,!1),a=b.join(\"\")):a=a[b];return a}function R(a,b){b&&\"string\"!==typeof b&&(b=b.toString());return!!a&&1==a.nodeType&&(!b||a.tagName.toUpperCase()==b)}\nfunction T(a){return R(a,\"OPTION\")?!0:R(a,\"INPUT\")?(a=a.type.toLowerCase(),\"checkbox\"==a||\"radio\"==a):!1};var ja={\"class\":\"className\",readonly:\"readOnly\"},U=\"allowfullscreen allowpaymentrequest allowusermedia async autofocus autoplay checked compact complete controls declare default defaultchecked defaultselected defer disabled ended formnovalidate hidden indeterminate iscontenteditable ismap itemscope loop multiple muted nohref nomodule noresize noshade novalidate nowrap open paused playsinline pubdate readonly required reversed scoped seamless seeking selected truespeed typemustmatch willvalidate\".split(\" \");function V(a,b){var e=null,c=b.toLowerCase();if(\"style\"==c)return(e=a.style)&&!f(e)&&(e=e.cssText),e;if((\"selected\"==c||\"checked\"==c)&&T(a)){if(!T(a))throw new h(15,\"Element is not selectable\");b=\"selected\";e=a.type&&a.type.toLowerCase();if(\"checkbox\"==e||\"radio\"==e)b=\"checked\";return S(a,b)?\"true\":null}var g=R(a,\"A\");if(R(a,\"IMG\")&&\"src\"==c||g&&\"href\"==c)return(e=Q(a,c))&&(e=S(a,c)),e;if(\"spellcheck\"==c){e=Q(a,c);if(null!==e){if(\"false\"==e.toLowerCase())return\"false\";if(\"true\"==e.toLowerCase())return\"true\"}return S(a,\nc)+\"\"}g=ja[b]||b;a:if(f(U))c=f(c)&&1==c.length?U.indexOf(c,0):-1;else{for(var u=0;u<U.length;u++)if(u in U&&U[u]===c){c=u;break a}c=-1}if(0<=c)return(e=null!==Q(a,b)||S(a,g))?\"true\":null;try{var k=S(a,g)}catch(ka){}(c=null==k)||(c=typeof k,c=\"object\"==c&&null!=k||\"function\"==c);c?e=Q(a,b):e=k;return null!=e?e.toString():null}var W=[\"_\"],X=d;W[0]in X||!X.execScript||X.execScript(\"var \"+W[0]);\nfor(var Y;W.length&&(Y=W.shift());){var Z;if(Z=!W.length)Z=void 0!==V;Z?X[Y]=V:X[Y]&&X[Y]!==Object.prototype[Y]?X=X[Y]:X=X[Y]={}};; return this._.apply(null,arguments);}.apply({navigator:typeof window!='undefined'?window.navigator:null,document:typeof window!='undefined'?window.document:null}, arguments);}\n).apply(null, arguments);", "args": [{"ELEMENT": "0af41fc8-e465-4e5a-a5ba-8481ca71336e", "element-6066-11e4-a52e-4f735466cecf": "0af41fc8-e465-4e5a-a5ba-8481ca71336e"}, "multiple"]}
DEBUG : 2021-08-26 20:52:04,040 : http://127.0.0.1:58283 "POST /session/fff98da934d9313a3667a68e88476c48/execute/sync HTTP/1.1" 200 14
DEBUG : 2021-08-26 20:52:04,040 : Finished Request
DEBUG : 2021-08-26 20:52:04,040 : POST http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/0af41fc8-e465-4e5a-a5ba-8481ca71336e/elements {"using": "css selector", "value": "option", "id": "0af41fc8-e465-4e5a-a5ba-8481ca71336e"}
DEBUG : 2021-08-26 20:52:04,044 : http://127.0.0.1:58283 "POST /session/fff98da934d9313a3667a68e88476c48/element/0af41fc8-e465-4e5a-a5ba-8481ca71336e/elements HTTP/1.1" 200 564
DEBUG : 2021-08-26 20:52:04,044 : Finished Request
DEBUG : 2021-08-26 20:52:04,044 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/1128a2d3-68d5-4e07-b587-ecada7748001/text {"id": "1128a2d3-68d5-4e07-b587-ecada7748001"}
DEBUG : 2021-08-26 20:52:04,059 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/1128a2d3-68d5-4e07-b587-ecada7748001/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:04,059 : Finished Request
DEBUG : 2021-08-26 20:52:04,059 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/a5e7b1da-9d2a-4cd7-a8fa-21713fb0a968/text {"id": "a5e7b1da-9d2a-4cd7-a8fa-21713fb0a968"}
DEBUG : 2021-08-26 20:52:04,091 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/a5e7b1da-9d2a-4cd7-a8fa-21713fb0a968/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:04,091 : Finished Request
DEBUG : 2021-08-26 20:52:04,091 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/3fc5f6cd-9d8b-470e-8e4f-a0e2f97a0f6e/text {"id": "3fc5f6cd-9d8b-470e-8e4f-a0e2f97a0f6e"}
DEBUG : 2021-08-26 20:52:04,102 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/3fc5f6cd-9d8b-470e-8e4f-a0e2f97a0f6e/text HTTP/1.1" 200 12
DEBUG : 2021-08-26 20:52:04,102 : Finished Request
